16 Feb 2023 | 06:59:50,933 | INFO  | Scheduler1-thread-1 | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 125, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:63233 }
16 Feb 2023 | 06:59:50,933 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#118, Id: 118, Priv: 0, Sess: 203.200.25.244:63233 ) , SessionLen: 80729, Type: Unity / .Net
16 Feb 2023 | 06:59:50,933 | INFO  | SFSWorker:Ext:2 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:59:51,338 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#119, Id: 119, Priv: 0, Sess: 203.200.25.244:58948 ) , Type: Unity / .Net
16 Feb 2023 | 07:00:00,778 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 126, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58948 }
16 Feb 2023 | 07:00:00,778 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#119, Id: 119, Priv: 0, Sess: 203.200.25.244:58948 ) , SessionLen: 9440, Type: Unity / .Net
16 Feb 2023 | 07:00:00,778 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 07:01:51,038 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 127, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58967 } on Server port: 9933 <---> 58967
16 Feb 2023 | 07:01:51,605 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#120, Id: 120, Priv: 0, Sess: 203.200.25.244:58967 ) , Type: Unity / .Net
16 Feb 2023 | 07:03:54,246 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 127, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58967 }
16 Feb 2023 | 07:03:54,246 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#120, Id: 120, Priv: 0, Sess: 203.200.25.244:58967 ) , SessionLen: 122641, Type: Unity / .Net
16 Feb 2023 | 07:03:54,246 | INFO  | SFSWorker:Ext:4 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 07:04:57,543 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 128, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58988 } on Server port: 9933 <---> 58988
16 Feb 2023 | 07:04:58,192 | INFO  | SFSWorker:Sys:2 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#121, Id: 121, Priv: 0, Sess: 203.200.25.244:58988 ) , Type: Unity / .Net
16 Feb 2023 | 07:07:21,311 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 128, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58988 }
16 Feb 2023 | 07:07:21,311 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#121, Id: 121, Priv: 0, Sess: 203.200.25.244:58988 ) , SessionLen: 143119, Type: Unity / .Net
16 Feb 2023 | 07:07:21,311 | INFO  | SFSWorker:Ext:4 | Extensions |     | {BackendExtension}: user gone handler called 
